2022-03-10 12:00:59 [INFO] 开始企业微信测试 (test_wework.py:29)
2022-03-10 12:00:59 [INFO] 开始本次测试 (wework_app.py:15)
2022-03-10 12:01:05 [INFO] 跳转到首页 (wework_app.py:59)
2022-03-10 12:01:05 [INFO] 输入数据：('zenghuan11', '13745210225') (test_wework.py:49)
2022-03-10 12:01:05 [INFO] 点击通讯录 (main_page.py:15)
2022-03-10 12:01:06 [INFO] 跳转到通讯录列表页 (main_page.py:23)
2022-03-10 12:01:06 [INFO] 点击添加成员 (addressList_page.py:16)
2022-03-10 12:01:06 [INFO] 跳转到添加成员页 (addressList_page.py:19)
2022-03-10 12:01:06 [INFO] 点击手动输入添加 (addMember_page.py:15)
2022-03-10 12:01:08 [INFO] 跳转到编辑成员页 (addMember_page.py:20)
2022-03-10 12:01:08 [INFO] 输入用户名 (editMember_page.py:21)
2022-03-10 12:01:09 [INFO] 输入手机号 (editMember_page.py:24)
2022-03-10 12:01:10 [INFO] 点击保存 (editMember_page.py:27)
2022-03-10 12:01:11 [INFO] 保存成功，弹层toast (editMember_page.py:30)
2022-03-10 12:01:13 [INFO] 完成本次测试 (test_wework.py:39)
2022-03-10 12:01:15 [INFO] 开始本次测试 (wework_app.py:15)
2022-03-10 12:01:15 [INFO] 跳转到首页 (wework_app.py:59)
2022-03-10 12:01:15 [INFO] 输入数据：('zenghuan22', '13745210226') (test_wework.py:49)
2022-03-10 12:01:15 [INFO] 点击通讯录 (main_page.py:15)
2022-03-10 12:01:18 [INFO] 跳转到通讯录列表页 (main_page.py:23)
2022-03-10 12:01:18 [INFO] 点击添加成员 (addressList_page.py:16)
2022-03-10 12:01:19 [INFO] 跳转到添加成员页 (addressList_page.py:19)
2022-03-10 12:01:19 [INFO] 点击手动输入添加 (addMember_page.py:15)
2022-03-10 12:01:20 [INFO] 跳转到编辑成员页 (addMember_page.py:20)
2022-03-10 12:01:20 [INFO] 输入用户名 (editMember_page.py:21)
2022-03-10 12:01:22 [INFO] 输入手机号 (editMember_page.py:24)
2022-03-10 12:01:23 [INFO] 点击保存 (editMember_page.py:27)
2022-03-10 12:01:24 [INFO] 保存成功，弹层toast (editMember_page.py:30)
2022-03-10 12:01:26 [INFO] 完成本次测试 (test_wework.py:39)
2022-03-10 12:01:27 [INFO] 开始本次测试 (wework_app.py:15)
2022-03-10 12:01:28 [INFO] 跳转到首页 (wework_app.py:59)
2022-03-10 12:01:28 [INFO] 输入数据：('zenghuan33', '13745210236') (test_wework.py:49)
2022-03-10 12:01:28 [INFO] 点击通讯录 (main_page.py:15)
2022-03-10 12:01:29 [INFO] 跳转到通讯录列表页 (main_page.py:23)
2022-03-10 12:01:29 [INFO] 点击添加成员 (addressList_page.py:16)
2022-03-10 12:01:30 [INFO] 跳转到添加成员页 (addressList_page.py:19)
2022-03-10 12:01:30 [INFO] 点击手动输入添加 (addMember_page.py:15)
2022-03-10 12:01:31 [INFO] 跳转到编辑成员页 (addMember_page.py:20)
2022-03-10 12:01:31 [INFO] 输入用户名 (editMember_page.py:21)
2022-03-10 12:01:33 [INFO] 输入手机号 (editMember_page.py:24)
2022-03-10 12:01:34 [INFO] 点击保存 (editMember_page.py:27)
2022-03-10 12:01:35 [INFO] 保存成功，弹层toast (editMember_page.py:30)
2022-03-10 12:01:37 [INFO] 完成本次测试 (test_wework.py:39)
2022-03-10 12:01:39 [INFO] 结束测试 (test_wework.py:43)
